,session,cluster,phase,mean_hit,mean_miss,ps_hm,mean_go,mean_nogo,ps_tot,mean_falarm,mean_creject,ps_fc
1590,BS_42_2_AC.pickle,18,post early,0.05465587044534413,0.07272727272727274,0.585583215072725,0.062839248434238,0.10476190476190479,0.12478947725535089,0.07155172413793104,0.14000000000000004,0.12035588542933127
1591,BS_42_2_AC.pickle,27,post early,0.17692307692307693,0.09090909090909091,0.07515757585296416,0.21461377870563678,0.19047619047619047,0.522829860180068,0.25474137931034485,0.29999999999999993,0.41520579058102036
1592,BS_42_2_AC.pickle,41,post early,0.10850202429149801,0.23636363636363636,0.0035131985784262625,0.1200417536534447,0.17619047619047618,0.0891154829009974,0.13232758620689655,0.10999999999999999,0.6528959982597944
1593,BS_42_2_AC.pickle,48,post early,0.01990049751243781,0.13,1.8400626095276695e-06,0.02284263959390863,0.08421052631578947,0.00029007322945484023,0.025906735751295335,0.03333333333333333,0.7641113168232619
1594,BS_42_2_AC.pickle,54,post early,0.29797570850202426,0.45454545454545453,0.08311405822001815,0.21377870563674323,0.28095238095238095,0.2492937004675324,0.12413793103448276,0.09,0.5590645121251216
1595,BS_42_2_AC.pickle,57,post early,0.17611336032388664,0.2545454545454546,0.07408873740549715,0.15177453027139876,0.21428571428571427,0.03838257808681216,0.12586206896551724,0.17,0.2646657469533182
1596,BS_42_2_AC.pickle,61,post early,0.12834008097165994,0.09090909090909091,0.4007020586115152,0.12922755741127348,0.07142857142857145,0.08135271941007356,0.13017241379310346,0.05,0.10650422984288632
1597,BS_42_2_AC.pickle,62,post early,0.10121457489878542,0.12727272727272726,0.4452231239023046,0.11837160751565763,0.11904761904761907,0.9798227406366791,0.13663793103448277,0.11000000000000001,0.5164976796560629
1598,BS_42_2_AC.pickle,64,post early,0.0931174089068826,0.0818181818181818,0.701323153372531,0.12964509394572024,0.1142857142857143,0.5828412784127665,0.1685344827586207,0.15,0.684801228016541
1599,BS_42_2_AC.pickle,68,post early,0.8060728744939272,0.927272727272727,0.26506146128998354,0.8697286012526095,0.9809523809523808,0.18474411512398173,0.9375,1.04,0.4158475291752839
1600,BS_42_2_AC.pickle,69,post early,0.5522267206477732,0.6909090909090909,0.045408663532856365,0.497286012526096,0.5523809523809523,0.28994965849634236,0.4387931034482758,0.4,0.5960698889846299
1601,BS_42_2_AC.pickle,78,post early,0.09028340080971659,0.10909090909090909,0.5604141339304501,0.07954070981210856,0.11904761904761907,0.07204024598342129,0.06810344827586207,0.13000000000000003,0.03428238232027562
1602,BS_42_2_AC.pickle,82,post early,0.3129554655870445,0.36363636363636365,0.374351743850155,0.24029227557411273,0.26666666666666666,0.5044567070355089,0.16293103448275864,0.16,0.9437716418804544
1603,BS_42_2_AC.pickle,84,post early,0.22474226804123715,0.28,0.21656327246573145,0.3118421052631579,0.2894736842105263,0.5986646772161509,0.4026881720430107,0.30000000000000004,0.09294841720625414
1604,BS_42_2_AC.pickle,85,post early,0.36599190283400806,0.4727272727272727,0.2126685945654224,0.6146137787056367,0.6000000000000001,0.8831222880248796,0.8793103448275862,0.7399999999999999,0.332345650952516
1605,BS_42_2_AC.pickle,86,post early,0.38299595141700404,0.4,0.8357146823997197,0.4375782881002088,0.45238095238095244,0.821691167101626,0.4956896551724138,0.51,0.8875272272192714
1606,BS_42_2_AC.pickle,89,post early,0.03724696356275303,0.05454545454545454,0.4215108718654245,0.05762004175365345,0.06190476190476191,0.8281486988478852,0.0793103448275862,0.06999999999999999,0.7752777067658724
1607,BS_42_2_AC.pickle,100,post early,0.01524663677130045,0.045454545454545456,0.1328216416080147,0.023917995444191344,0.030000000000000006,0.754430128739288,0.032870370370370376,0.011111111111111112,0.5281815208461542
1608,BS_42_2_AC.pickle,108,post early,0.15714285714285717,0.0,0.3293061151334034,0.14869565217391306,0.06666666666666667,0.3422067237558151,0.13963963963963963,0.1,0.6831234837751123
1609,BS_42_2_AC.pickle,112,post early,0.15520833333333334,0.19,0.4980802332571272,0.19326424870466324,0.17058823529411768,0.598139961420888,0.2309278350515464,0.14285714285714285,0.2099040717119157
1610,BS_42_2_AC.pickle,115,post early,0.03424657534246575,0.0,0.6340034528031991,0.04041095890410959,0.0,0.5817350154928401,0.04657534246575342,,
1611,BS_42_2_AC.pickle,116,post early,0.010738255033557048,0.0,0.6334964931565629,0.013605442176870748,0.0,0.45142511240289146,0.01655172413793104,0.0,0.5516216198823566
1612,BS_42_2_AC.pickle,118,post early,0.059358288770053474,0.05,0.7372517302404702,0.08054794520547945,0.06842105263157897,0.6136123149929089,0.10280898876404493,0.08888888888888889,0.7185690002350372
1613,BS_42_2_AC.pickle,119,post early,0.0024691358024691358,0.028571428571428574,0.009598847355438395,0.0037037037037037043,0.018181818181818184,0.07385577106471584,0.0049382716049382715,0.0,0.7163036078343016
1614,BS_42_2_AC.pickle,121,post early,0.047368421052631574,0.03636363636363637,0.6297194410566996,0.05260960334029228,0.047619047619047616,0.7719231096125769,0.05818965517241379,0.06000000000000001,0.9444236621288072
1615,BS_42_2_AC.pickle,128,post early,0.012121212121212121,0.0,0.8149231303846357,0.01557377049180328,0.02,0.8655136455572595,0.019642857142857146,0.025,0.8716279612942862
1616,BS_42_2_AC.pickle,129,post early,0.012121212121212123,0.06,0.003814081604737186,0.020152091254752855,0.03888888888888889,0.15864257828728828,0.028244274809160305,0.0125,0.45407490122810684
1617,BS_42_2_AC.pickle,131,post early,0.04372469635627531,0.018181818181818184,0.3614205993741811,0.037787056367432154,0.014285714285714287,0.17873627355472707,0.03146551724137931,0.01,0.28655631103076606
1618,BS_42_2_AC.pickle,135,post early,0.01898148148148148,0.018181818181818184,0.9557725106450918,0.02570754716981132,0.034999999999999996,0.4883061289112301,0.032692307692307694,0.05555555555555555,0.32588401724264887
1619,BS_72_7_AC.pickle,12,post late,0.021904761904761906,0.002173913043478261,0.009585361612161607,0.029508196721311476,0.004,0.00014824374186507702,0.03974358974358975,0.005555555555555557,0.0026235235296473746
1620,BS_72_7_AC.pickle,13,post late,0.5197080291970804,0.6339285714285714,0.030714245657435815,0.49180327868852447,0.6040983606557377,0.0011588313189739117,0.4560747663551402,0.5787878787878789,0.005995718870948852
1621,BS_72_7_AC.pickle,14,post late,0.13211678832116788,0.1392857142857143,0.6336391912357708,0.1487704918032787,0.1434426229508197,0.6529528502396421,0.17009345794392522,0.14696969696969697,0.2091631570957614
1622,BS_72_7_AC.pickle,15,post late,0.283941605839416,0.20535714285714285,0.0035910227579269314,0.2741803278688525,0.21311475409836064,0.00045762081888202144,0.2616822429906542,0.2196969696969697,0.05870314652108318
1623,BS_72_7_AC.pickle,16,post late,0.2240875912408759,0.15535714285714283,0.015809491502485624,0.23032786885245904,0.17131147540983607,0.0027758176868349035,0.2383177570093458,0.18484848484848485,0.05346994695070582
1624,BS_72_7_AC.pickle,33,post late,0.5248175182481752,0.5464285714285715,0.4472940779985761,0.44999999999999996,0.4032786885245902,0.03461772917977293,0.35420560747663554,0.2818181818181818,0.00437129989717342
1625,BS_72_7_AC.pickle,35,post late,0.3802919708029197,0.3696428571428571,0.7874890810525588,0.4180327868852459,0.45245901639344266,0.24689412395256757,0.4663551401869159,0.5227272727272727,0.19516698601757265
1626,BS_72_7_AC.pickle,36,post late,0.019083969465648856,0.017857142857142856,0.8727209486883774,0.016595744680851066,0.014754098360655736,0.7101110689579173,0.01346153846153846,0.012121212121212121,0.8324616722121501
1627,BS_41_6_AC.pickle,1,post late,0.04803149606299213,0.10192307692307692,0.00010402458015633082,0.07232323232323232,0.09999999999999999,0.006261839002688285,0.0979253112033195,0.0979591836734694,0.9980712913010459
1628,BS_41_6_AC.pickle,3,post late,0.11141732283464567,0.10192307692307692,0.5815924862825114,0.18585858585858586,0.11782178217821783,7.692373420991695e-05,0.2643153526970955,0.1346938775510204,8.073080464501796e-07
1629,BS_41_6_AC.pickle,6,post late,0.009090909090909092,0.0,0.7557834304123787,0.010526315789473684,0.0,0.5558983440584685,0.012,0.0,0.6077851931207374
1630,BS_41_6_AC.pickle,7,post late,0.06850393700787402,0.051923076923076926,0.579403249872927,0.09515151515151515,0.0801980198019802,0.45806781345808933,0.1232365145228216,0.11020408163265306,0.618934204815453
1631,BS_41_6_AC.pickle,32,post late,0.013777777777777778,0.01153846153846154,0.7763536376313627,0.008447488584474886,0.008910891089108912,0.9155413455259401,0.002816901408450704,0.006122448979591837,0.30351156828045145
1632,BS_40_10_AC.pickle,0,pre late,0.015384615384615385,0.03333333333333333,0.5277177377615887,0.017355371900826446,0.025,0.6318850045500106,0.019642857142857146,0.02307692307692308,0.8744719977543951
1633,BS_40_10_AC.pickle,2,pre late,0.03529411764705883,0.07272727272727272,0.11723834250975322,0.03275862068965517,0.08013698630136987,0.029582004450433037,0.014285714285714287,0.08461538461538462,0.25633508778136443
1634,BS_40_10_AC.pickle,3,pre late,0.04587155963302751,0.08275862068965517,0.057001290380167005,0.040506329113924044,0.06666666666666668,0.03696043021197946,0.02857142857142857,0.058181818181818175,0.10621630620337741
1635,BS_40_10_AC.pickle,5,pre late,0.22377049180327865,0.3714285714285714,5.0884882741295326e-05,0.2535279805352798,0.4121693121693122,7.8877641483652e-09,0.2970059880239521,0.4325396825396826,0.0013091977481914773
1636,BS_40_10_AC.pickle,9,pre late,0.3782786885245902,0.7412698412698413,2.09400282208779e-08,0.29221411192214114,0.6582010582010581,1.503049816427102e-22,0.16646706586826346,0.6166666666666667,3.6246300157827575e-24
1637,BS_40_10_AC.pickle,12,pre late,0.042391304347826085,0.0639344262295082,0.11718744077440273,0.04700000000000001,0.07388888888888889,0.010654944116676354,0.054310344827586204,0.07899159663865545,0.1401730356452774
1638,BS_40_10_AC.pickle,20,pre late,0.01881188118811881,0.015384615384615385,0.8131192115251078,0.021487603305785127,0.03333333333333333,0.13660468160698133,0.024844720496894408,0.03863636363636364,0.1822832201316849
1639,BS_40_10_AC.pickle,22,pre late,0.03389121338912133,0.023076923076923075,0.30158996604276544,0.03078817733990148,0.029629629629629634,0.851355014800383,0.02634730538922156,0.03272727272727273,0.4216611337493999
