,animal,session,cluster ID,phase,condition,FR modulation
198,BS_50,BS_50_3_AC.pickle,11,pre early,behaving,11.714285714285712
199,BS_50,BS_50_3_AC.pickle,16,pre early,behaving,3.6571428571428584
200,BS_50,BS_50_3_AC.pickle,21,pre early,behaving,6.553030303030304
201,BS_50,BS_50_3_AC.pickle,34,pre early,behaving,9.31428571428572
202,BS_50,BS_50_3_AC.pickle,41,pre early,behaving,37.3904761904762
203,BS_50,BS_50_3_AC.pickle,45,pre early,behaving,7.0132517838939865
204,BS_56,BS_56_1_AC.pickle,3,post expert,behaving,4.94505494505495
205,BS_56,BS_56_1_AC.pickle,14,post expert,behaving,0.952380952380952
206,BS_56,BS_56_2_AC.pickle,9,post expert,behaving,4.210526315789474
207,BS_56,BS_56_3_AC.pickle,7,post expert,behaving,0.5833333333333336
208,BS_56,BS_56_3_AC.pickle,10,post expert,behaving,1.1333333333333346
209,BS_56,BS_56_3_AC.pickle,13,post expert,behaving,0.6666666666666672
210,BS_56,BS_56_3_AC.pickle,20,post expert,behaving,0.7500000000000001
211,BS_56,BS_56_3_AC.pickle,35,post expert,behaving,4.383333333333336
212,BS_67,BS_67_1_AC.pickle,10,post late,behaving,1.9209039548022588
213,BS_67,BS_67_1_AC.pickle,16,post late,behaving,4.957264957264958
214,BS_67,BS_67_1_AC.pickle,19,post late,behaving,17.858880778588805
215,BS_67,BS_67_1_AC.pickle,55,post late,behaving,14.684095860566448
216,BS_67,BS_67_1_AC.pickle,59,post late,behaving,7.999999999999997
217,BS_67,BS_67_2_AC.pickle,1,post expert,behaving,1.8741633199464525
218,BS_70,BS_70_11_AC.pickle,14,post late,behaving,2.55208333333333
219,BS_70,BS_70_11_AC.pickle,18,post late,behaving,1.3888888888888886
220,BS_70,BS_70_11_AC.pickle,24,post late,behaving,0.8536585365853661
221,BS_70,BS_70_11_AC.pickle,32,post late,behaving,3.802083333333332
222,BS_70,BS_70_12_AC.pickle,5,post late,behaving,1.5359477124183
223,BS_70,BS_70_12_AC.pickle,6,post late,behaving,3.1243781094527345
224,BS_70,BS_70_12_AC.pickle,19,post late,behaving,2.0080321285140563
225,BS_70,BS_70_12_AC.pickle,20,post late,behaving,2.5120772946859904
226,BS_70,BS_70_13_AC.pickle,18,post expert,behaving,5.070785070785068
227,BS_70,BS_70_1_AC.pickle,1,pre late,behaving,12.5626204238921
228,BS_70,BS_70_1_AC.pickle,2,pre late,behaving,2.303921568627451
229,BS_70,BS_70_1_AC.pickle,13,pre late,behaving,35.87668593448939
230,BS_70,BS_70_1_AC.pickle,37,pre late,behaving,5.703275529865122
231,BS_70,BS_70_1_AC.pickle,66,pre late,behaving,2.54335260115607
232,BS_70,BS_70_1_AC.pickle,69,pre late,behaving,3.622350674373795
233,BS_70,BS_70_1_AC.pickle,73,pre late,behaving,2.157996146435452
234,BS_70,BS_70_1_AC.pickle,74,pre late,behaving,1.0019267822736033
235,BS_70,BS_70_1_AC.pickle,77,pre late,behaving,2.3655913978494625
236,BS_70,BS_70_1_AC.pickle,80,pre late,behaving,0.6165703275529867
237,BS_70,BS_70_1_AC.pickle,88,pre late,behaving,0.6936416184971098
238,BS_70,BS_70_1_AC.pickle,91,pre late,behaving,1.618497109826588
239,BS_70,BS_70_1_AC.pickle,127,pre late,behaving,4.93256262042389
240,BS_70,BS_70_1_AC.pickle,141,pre late,behaving,3.275529865125243
241,BS_70,BS_70_5_AC.pickle,0,post early,behaving,5.659259259259257
242,BS_70,BS_70_5_AC.pickle,10,post early,behaving,8.271872740419377
243,BS_70,BS_70_6_AC.pickle,37,post early,behaving,1.9688109161793423
244,BS_70,BS_70_6_AC.pickle,51,post early,behaving,1.7329255861365935
245,BS_70,BS_70_6_AC.pickle,68,post early,behaving,2.8134556574923537
246,BS_70,BS_70_7_AC.pickle,22,post late,behaving,11.711711711711708
247,BS_70,BS_70_7_AC.pickle,45,post late,behaving,7.631578947368415
248,BS_70,BS_70_8_AC.pickle,1,post late,behaving,3.039014373716636
249,BS_70,BS_70_8_AC.pickle,18,post late,behaving,1.3689253935660464
250,BS_70,BS_70_8_AC.pickle,20,post late,behaving,3.737166324435318
251,BS_70,BS_70_8_AC.pickle,21,post late,behaving,13.699788583509507
252,BS_70,BS_70_8_AC.pickle,28,post late,behaving,1.5958240119313933
253,BS_70,BS_70_8_AC.pickle,36,post late,behaving,2.2771535580524342
254,BS_70,BS_70_8_AC.pickle,42,post late,behaving,2.4914442162902133
255,BS_70,BS_70_8_AC.pickle,48,post late,behaving,10.363984674329505
256,BS_70,BS_70_8_AC.pickle,52,post late,behaving,0.5065023956194391
257,BS_70,BS_70_9_AC.pickle,9,post late,behaving,2.565400843881853
258,BS_70,BS_70_9_AC.pickle,41,post late,behaving,0.8934707903780075
259,BS_70,BS_70_9_AC.pickle,48,post late,behaving,6.0903426791277235
260,BS_70,BS_70_9_AC.pickle,56,post late,behaving,10.999160369437451
261,BS_72,BS_72_10_AC.pickle,18,post late,behaving,13.402061855670107
262,BS_72,BS_72_13_AC.pickle,0,post late,behaving,1.321713870733477
263,BS_72,BS_72_13_AC.pickle,6,post late,behaving,4.671916010498688
264,BS_72,BS_72_13_AC.pickle,10,post late,behaving,7.267759562841531
265,BS_72,BS_72_1_AC.pickle,0,pre expert,behaving,12.38546603475514
266,BS_72,BS_72_1_AC.pickle,5,pre expert,behaving,3.34913112164297
267,BS_72,BS_72_1_AC.pickle,24,pre expert,behaving,1.579778830963664
268,BS_72,BS_72_1_AC.pickle,30,pre expert,behaving,12.922590837282781
269,BS_72,BS_72_1_AC.pickle,38,pre expert,behaving,5.5924170616113775
270,BS_72,BS_72_2_AC.pickle,1,pre expert,behaving,2.8947368421052637
271,BS_72,BS_72_2_AC.pickle,3,pre expert,behaving,22.588235294117645
272,BS_72,BS_72_2_AC.pickle,7,pre expert,behaving,6.627450980392157
273,BS_72,BS_72_2_AC.pickle,8,pre expert,behaving,2.470588235294118
274,BS_72,BS_72_2_AC.pickle,17,pre expert,behaving,6.039215686274509
275,BS_72,BS_72_2_AC.pickle,19,pre expert,behaving,12.470588235294118
276,BS_72,BS_72_2_AC.pickle,26,pre expert,behaving,1.9607843137254903
277,BS_72,BS_72_2_AC.pickle,52,pre expert,behaving,4.9350649350649345
278,BS_72,BS_72_4_AC.pickle,7,post early,behaving,2.019607843137254
279,BS_72,BS_72_4_AC.pickle,12,post early,behaving,1.1054421768707474
280,BS_72,BS_72_4_AC.pickle,44,post early,behaving,4.075117370892018
281,BS_72,BS_72_4_AC.pickle,46,post early,behaving,7.562189054726367
282,BS_72,BS_72_4_AC.pickle,54,post early,behaving,10.068027210884367
283,BS_72,BS_72_4_AC.pickle,55,post early,behaving,31.238938053097336
284,BS_72,BS_72_4_AC.pickle,70,post early,behaving,18.323108384458077
285,BS_72,BS_72_4_AC.pickle,115,post early,behaving,29.14965986394558
286,BS_72,BS_72_5_AC.pickle,0,post late,behaving,3.1643625192012292
287,BS_72,BS_72_5_AC.pickle,10,post late,behaving,39.34666666666668
288,BS_72,BS_72_5_AC.pickle,36,post late,behaving,20.210970464135016
289,BS_72,BS_72_5_AC.pickle,42,post late,behaving,35.62666666666672
290,BS_72,BS_72_5_AC.pickle,54,post late,behaving,0.9322033898305085
291,BS_72,BS_72_6_AC.pickle,12,post late,behaving,2.866666666666672
292,BS_72,BS_72_6_AC.pickle,13,post late,behaving,2.72
293,BS_72,BS_72_6_AC.pickle,14,post late,behaving,4.483430799220272
294,BS_72,BS_72_6_AC.pickle,23,post late,behaving,11.053333333333326
295,BS_72,BS_72_6_AC.pickle,26,post late,behaving,11.373333333333322
296,BS_72,BS_72_6_AC.pickle,27,post late,behaving,7.605409705648372
