,animal,session,cluster ID,learning phase,Stim decoding accuracy,FR modulation
159,BS_42,BS_42_4_AC.pickle,41,post early,0.599022545,38.7802313354363
160,BS_42,BS_42_4_AC.pickle,61,post early,0.563500433,8.874868559411139
161,BS_42,BS_42_4_AC.pickle,65,post early,0.568079778,2.660882140274765
162,BS_42,BS_42_5_AC.pickle,33,post early,0.565337785,23.386666666666667
163,BS_42,BS_42_6_AC.pickle,26,post late,0.586104429,13.411111111111072
164,BS_42,BS_42_6_AC.pickle,48,post late,0.562139543,6.8777777777777915
165,BS_42,BS_42_6_AC.pickle,76,post late,0.582859298,0.26402640264026406
166,BS_42,BS_42_7_AC.pickle,25,post late,0.564156688,3.076923076923086
167,BS_42,BS_42_7_AC.pickle,35,post late,0.577797928,3.4888888888888885
168,BS_42,BS_42_7_AC.pickle,42,post late,0.661087685,5.966666666666689
169,BS_42,BS_42_7_AC.pickle,46,post late,0.587834422,0.9000000000000008
170,BS_42,BS_42_7_AC.pickle,49,post late,0.602324786,0.8937198067632863
171,BS_42,BS_42_7_AC.pickle,52,post late,0.600628058,1.9835680751173703
172,BS_42,BS_42_7_AC.pickle,53,post late,0.689817532,0.5000000000000002
173,BS_42,BS_42_7_AC.pickle,64,post late,0.571879304,0.7333333333333332
174,BS_42,BS_42_7_AC.pickle,65,post late,0.565065588,1.4000000000000012
175,BS_42,BS_42_7_AC.pickle,66,post late,0.609842344,0.8333333333333334
176,BS_42,BS_42_7_AC.pickle,71,post late,0.619192981,2.2098765432098806
177,BS_42,BS_42_7_AC.pickle,72,post late,0.570750008,3.3999999999999977
178,BS_42,BS_42_7_AC.pickle,84,post late,0.599343896,0.8444444444444444
179,BS_42,BS_42_7_AC.pickle,89,post late,0.589353999,1.2345679012345678
180,BS_42,BS_42_7_AC.pickle,93,post late,0.578677569,3.9080459770114935
181,BS_42,BS_42_7_AC.pickle,100,post late,0.629369621,32.87449392712553
182,BS_42,BS_42_7_AC.pickle,119,post late,0.664132333,0.7888888888888897
183,BS_42,BS_42_8_AC.pickle,13,post expert,0.559880272,5.114942528735632
184,BS_42,BS_42_9_AC.pickle,32,post expert,0.620769267,3.1630170316301696
185,BS_49,BS_49_12_AC.pickle,6,pre expert,0.600602811,1.2121212121212117
186,BS_49,BS_49_12_AC.pickle,10,pre expert,0.779021882,10.3030303030303
187,BS_49,BS_49_12_AC.pickle,13,pre expert,0.680803575,4.646464646464645
188,BS_49,BS_49_12_AC.pickle,22,pre expert,0.56226054,3.3131313131313127
189,BS_49,BS_49_12_AC.pickle,39,pre expert,0.702642524,3.7575757575757582
190,BS_49,BS_49_12_AC.pickle,49,pre expert,0.572870902,0.6464646464646466
191,BS_49,BS_49_14_AC.pickle,16,post late,0.651823012,0.7246376811594224
192,BS_49,BS_49_16_AC.pickle,10,post expert,0.567348413,4.4808743169398895
193,BS_49,BS_49_1_AC.pickle,6,pre early,0.568166427,23.1616982836495
194,BS_49,BS_49_1_AC.pickle,152,pre early,0.562981867,0.9936766034326998
195,BS_49,BS_49_2_AC.pickle,6,pre early,0.611805054,4.17254901960784
196,BS_49,BS_49_2_AC.pickle,11,pre early,0.595647368,4.188235294117644
197,BS_49,BS_49_2_AC.pickle,12,pre early,0.653134759,17.731481481481474
198,BS_49,BS_49_2_AC.pickle,31,pre early,0.578633681,11.921568627450982
199,BS_49,BS_49_2_AC.pickle,47,pre early,0.634256336,10.149019607843137
200,BS_49,BS_49_4_AC.pickle,9,pre early,0.711201923,27.799999999999997
201,BS_49,BS_49_4_AC.pickle,14,pre early,0.69713141,18.933333333333323
202,BS_49,BS_49_4_AC.pickle,16,pre early,0.642996795,13.533333333333333
203,BS_49,BS_49_4_AC.pickle,27,pre early,0.570192308,13.533333333333328
204,BS_49,BS_49_4_AC.pickle,28,pre early,0.589150641,1.4
205,BS_49,BS_49_4_AC.pickle,35,pre early,0.614967949,29.000000000000004
206,BS_49,BS_49_4_AC.pickle,36,pre early,0.622099359,5.9333333333333345
