,animal,session,cluster ID,learning phase,FR modulation
120,BS_87,BS_87_4_AC.pickle,34,post early,22.123142250530776
121,BS_87,BS_87_4_AC.pickle,38,post early,23.238993710691823
122,BS_87,BS_87_4_AC.pickle,44,post early,21.63934426229508
123,BS_87,BS_87_4_AC.pickle,45,post early,5.786163522012576
124,BS_87,BS_87_4_AC.pickle,57,post early,31.69811320754721
125,BS_87,BS_87_4_AC.pickle,73,post early,18.3018867924528
126,BS_87,BS_87_4_AC.pickle,74,post early,7.738478027867095
127,BS_87,BS_87_4_AC.pickle,80,post early,9.066666666666668
128,BS_87,BS_87_4_AC.pickle,82,post early,15.297619047619047
129,BS_87,BS_87_4_AC.pickle,115,post early,28.467309753483388
130,BS_87,BS_87_4_AC.pickle,124,post early,1.3153153153153143
131,BS_87,BS_87_4_AC.pickle,141,post early,16.58805031446541
132,BS_87,BS_87_4_AC.pickle,162,post early,11.132075471698109
133,BS_87,BS_87_4_AC.pickle,172,post early,7.169811320754737
134,BS_87,BS_87_4_AC.pickle,187,post early,24.64285714285714
135,BS_87,BS_87_4_AC.pickle,211,post early,7.844311377245513
136,BS_87,BS_87_4_AC.pickle,219,post early,6.338797814207649
137,BS_72,BS_72_10_AC.pickle,18,post late,13.402061855670107
138,BS_72,BS_72_4_AC.pickle,7,post early,2.019607843137254
139,BS_72,BS_72_4_AC.pickle,12,post early,1.1054421768707474
140,BS_72,BS_72_4_AC.pickle,44,post early,4.075117370892018
141,BS_72,BS_72_4_AC.pickle,46,post early,7.562189054726367
142,BS_72,BS_72_4_AC.pickle,54,post early,10.068027210884367
143,BS_72,BS_72_4_AC.pickle,55,post early,31.238938053097336
144,BS_72,BS_72_4_AC.pickle,70,post early,18.323108384458077
145,BS_72,BS_72_4_AC.pickle,115,post early,29.14965986394558
146,BS_41,BS_41_2_AC.pickle,23,post early,1.5532286212914481
147,BS_41,BS_41_2_AC.pickle,52,post early,27.225130890052355
148,BS_41,BS_41_2_AC.pickle,55,post early,5.543478260869565
149,BS_41,BS_41_2_AC.pickle,155,post early,2.494004796163069
150,BS_41,BS_41_2_AC.pickle,236,post early,5.222222222222222
151,DS_15,DS_15_17_AC.pickle,0,post expert,2.258953168044077
152,DS_15,DS_15_17_AC.pickle,15,post expert,4.022038567493117
153,DS_15,DS_15_17_AC.pickle,28,post expert,1.871345029239766
154,DS_15,DS_15_17_AC.pickle,54,post expert,2.4517906336088164
155,BS_72,BS_72_6_AC.pickle,12,post late,2.866666666666672
156,BS_72,BS_72_6_AC.pickle,13,post late,2.72
157,BS_72,BS_72_6_AC.pickle,14,post late,4.483430799220272
158,BS_72,BS_72_6_AC.pickle,23,post late,11.053333333333326
159,BS_72,BS_72_6_AC.pickle,26,post late,11.373333333333322
160,BS_72,BS_72_6_AC.pickle,27,post late,7.605409705648372
161,BS_72,BS_72_6_AC.pickle,28,post late,2.960000000000004
162,BS_72,BS_72_6_AC.pickle,31,post late,8.69333333333334
163,BS_72,BS_72_6_AC.pickle,32,post late,2.7188081936685298
164,BS_72,BS_72_6_AC.pickle,40,post late,21.863799283154098
165,BS_72,BS_72_6_AC.pickle,41,post late,5.613333333333349
166,BS_72,BS_72_6_AC.pickle,57,post late,3.713768115942031
167,BS_72,BS_72_6_AC.pickle,61,post late,9.069373942470387
168,BS_72,BS_72_6_AC.pickle,65,post late,2.0788530465949817
169,BS_42,BS_42_10_AC.pickle,8,post expert,4.253393665158373
170,BS_42,BS_42_10_AC.pickle,10,post expert,4.645550527903469
171,BS_42,BS_42_10_AC.pickle,18,post expert,2.9141716566866256
172,BS_42,BS_42_10_AC.pickle,26,post expert,15.656108597285073
173,BS_42,BS_42_8_AC.pickle,13,post expert,5.114942528735632
174,BS_40,BS_40_6_AC.pickle,7,pre late,1.8697829716193657
175,BS_40,BS_40_6_AC.pickle,11,pre late,2.370617696160264
176,BS_40,BS_40_6_AC.pickle,15,pre late,15.859766277128557
177,BS_40,BS_40_6_AC.pickle,27,pre late,1.8809126321647172
178,BS_49,BS_49_1_AC.pickle,6,pre early,23.1616982836495
179,BS_49,BS_49_1_AC.pickle,152,pre early,0.9936766034326998
180,DS_15,DS_15_16_AC.pickle,17,post expert,3.454345434543459
181,DS_15,DS_15_16_AC.pickle,23,post expert,20.330033003300322
182,DS_15,DS_15_16_AC.pickle,26,post expert,17.469746974697454
183,DS_15,DS_15_16_AC.pickle,27,post expert,6.138613861386135
184,DS_15,DS_15_16_AC.pickle,32,post expert,6.2926292629262734
185,DS_15,DS_15_16_AC.pickle,35,post expert,1.8701870187018705
186,DS_15,DS_15_16_AC.pickle,38,post expert,2.9702970297029694
187,DS_15,DS_15_16_AC.pickle,40,post expert,3.1023102310231043
188,DS_15,DS_15_16_AC.pickle,48,post expert,7.524752475247523
189,DS_15,DS_15_16_AC.pickle,68,post expert,8.444444444444443
190,DS_15,DS_15_16_AC.pickle,69,post expert,13.962804005722464
191,DS_15,DS_15_16_AC.pickle,72,post expert,1.8041804180418053
192,DS_15,DS_15_16_AC.pickle,73,post expert,1.8921892189218927
193,DS_15,DS_15_16_AC.pickle,77,post expert,90.45104510451036
194,BS_70,BS_70_13_AC.pickle,18,post expert,5.070785070785068
195,BS_42,BS_42_7_AC.pickle,25,post late,3.076923076923086
196,BS_42,BS_42_7_AC.pickle,35,post late,3.4888888888888885
197,BS_42,BS_42_7_AC.pickle,42,post late,5.966666666666689
198,BS_42,BS_42_7_AC.pickle,46,post late,0.9000000000000008
199,BS_42,BS_42_7_AC.pickle,49,post late,0.8937198067632863
200,BS_42,BS_42_7_AC.pickle,52,post late,1.9835680751173703
201,BS_42,BS_42_7_AC.pickle,53,post late,0.5000000000000002
202,BS_42,BS_42_7_AC.pickle,64,post late,0.7333333333333332
203,BS_42,BS_42_7_AC.pickle,65,post late,1.4000000000000012
204,BS_42,BS_42_7_AC.pickle,66,post late,0.8333333333333334
205,BS_42,BS_42_7_AC.pickle,71,post late,2.2098765432098806
206,BS_42,BS_42_7_AC.pickle,72,post late,3.3999999999999977
207,BS_42,BS_42_7_AC.pickle,84,post late,0.8444444444444444
208,BS_42,BS_42_7_AC.pickle,89,post late,1.2345679012345678
209,BS_42,BS_42_7_AC.pickle,93,post late,3.9080459770114935
210,BS_42,BS_42_7_AC.pickle,100,post late,32.87449392712553
211,BS_42,BS_42_7_AC.pickle,119,post late,0.7888888888888897
212,BS_56,BS_56_3_AC.pickle,7,post expert,0.5833333333333336
213,BS_56,BS_56_3_AC.pickle,10,post expert,1.1333333333333346
214,BS_56,BS_56_3_AC.pickle,13,post expert,0.6666666666666672
215,BS_56,BS_56_3_AC.pickle,20,post expert,0.7500000000000001
216,BS_56,BS_56_3_AC.pickle,35,post expert,4.383333333333336
217,BS_108,BS_108_6_AC.pickle,2,post early,3.446969696969696
218,BS_108,BS_108_6_AC.pickle,9,post early,3.833333333333334
219,BS_108,BS_108_6_AC.pickle,33,post early,3.2600732600732596
220,BS_108,BS_108_6_AC.pickle,47,post early,15.825734549138806
221,BS_108,BS_108_6_AC.pickle,48,post early,9.593869731800776
222,BS_108,BS_108_6_AC.pickle,78,post early,1.313432835820895
223,BS_108,BS_108_6_AC.pickle,79,post early,0.9201388888888884
224,BS_108,BS_108_6_AC.pickle,126,post early,16.727272727272727
225,BS_108,BS_108_6_AC.pickle,133,post early,6.099616858237546
226,BS_40,BS_40_3_AC.pickle,14,pre late,11.430745814307462
227,BS_40,BS_40_3_AC.pickle,15,pre late,14.961948249619475
228,BS_40,BS_40_3_AC.pickle,33,pre late,2.5665101721439747
229,BS_40,BS_40_3_AC.pickle,36,pre late,1.6151202749140892
230,BS_40,BS_40_3_AC.pickle,57,pre late,13.850837138508362
231,BS_40,BS_40_3_AC.pickle,76,pre late,1.1886304909560725
232,BS_40,BS_40_3_AC.pickle,81,pre late,3.8051750380517504
233,BS_40,BS_40_3_AC.pickle,114,pre late,15.34936998854525
234,BS_40,BS_40_3_AC.pickle,151,pre late,1.4840182648401823
235,BS_40,BS_40_3_AC.pickle,155,pre late,16.910197869101975
236,BS_72,BS_72_2_AC.pickle,1,pre expert,2.8947368421052637
237,BS_72,BS_72_2_AC.pickle,3,pre expert,22.588235294117645
238,BS_72,BS_72_2_AC.pickle,7,pre expert,6.627450980392157
239,BS_72,BS_72_2_AC.pickle,8,pre expert,2.470588235294118
240,BS_72,BS_72_2_AC.pickle,17,pre expert,6.039215686274509
241,BS_72,BS_72_2_AC.pickle,19,pre expert,12.470588235294118
242,BS_72,BS_72_2_AC.pickle,26,pre expert,1.9607843137254903
