,session,clust,accuracy,NCR_ratio,learning_phase,animal
104,BS_108_3_AC.pickle,"[35, 155, 175, 186, 229, 256, 348, 361, 364]",0.6355680449618626,0.6666666666666666,pre_expert,BS_108_3_AC
105,BS_108_3_AC.pickle,"[35, 62, 88, 131, 155, 224, 286, 340, 364]",0.5386752308309914,0.3333333333333333,pre_expert,BS_108_3_AC
106,BS_108_3_AC.pickle,"[35, 62, 88, 107, 175, 186, 215, 229, 242, 340, 361]",0.7224519230769231,0.36363636363636365,pre_expert,BS_108_3_AC
107,BS_108_3_AC.pickle,"[19, 88, 155, 194, 224, 229, 361, 364]",0.5681653954235246,0.25,pre_expert,BS_108_3_AC
108,BS_108_3_AC.pickle,"[19, 35, 62, 195, 242, 256, 272, 286]",0.9034,0.25,pre_expert,BS_108_3_AC
109,BS_108_3_AC.pickle,"[35, 46, 107, 131, 175, 176, 224, 242]",0.91224358974359,0.125,pre_expert,BS_108_3_AC
110,BS_108_3_AC.pickle,"[35, 44, 46, 107, 194, 242, 348, 361]",0.8099198717948718,0.375,pre_expert,BS_108_3_AC
111,BS_108_3_AC.pickle,"[35, 44, 144, 164, 186, 340, 348, 364]",0.6552083333333335,0.875,pre_expert,BS_108_3_AC
112,BS_108_3_AC.pickle,"[62, 164, 175, 195, 224, 340, 348, 362, 364]",0.5996779388083735,0.3333333333333333,pre_expert,BS_108_3_AC
113,BS_108_3_AC.pickle,"[19, 88, 144, 175, 195, 224, 242, 348]",0.6743697478991596,0.25,pre_expert,BS_108_3_AC
114,BS_108_3_AC.pickle,"[44, 62, 175, 176, 215, 229, 254, 364]",0.706875,0.25,pre_expert,BS_108_3_AC
115,BS_108_3_AC.pickle,"[19, 35, 62, 88, 144, 164, 175, 194, 215, 224, 229, 254, 286, 348, 361]",0.7507852564102566,0.3333333333333333,pre_expert,BS_108_3_AC
116,BS_108_3_AC.pickle,[62],0.6617467948717949,0.0,pre_expert,BS_108_3_AC
117,BS_108_3_AC.pickle,"[107, 144, 186, 195, 215, 224, 272, 361]",0.5936698717948719,0.25,pre_expert,BS_108_3_AC
118,BS_108_3_AC.pickle,"[19, 62, 107, 229, 254, 286, 316, 348, 364]",0.7610164065626249,0.3333333333333333,pre_expert,BS_108_3_AC
119,BS_108_3_AC.pickle,"[19, 144, 224, 229, 242, 256, 272, 348, 362]",0.6094363929146537,0.4444444444444444,pre_expert,BS_108_3_AC
120,BS_108_3_AC.pickle,"[19, 35, 44, 46, 164, 176, 316, 340, 362]",0.8371634615384617,0.5555555555555556,pre_expert,BS_108_3_AC
121,BS_108_3_AC.pickle,"[44, 107, 155, 175, 256, 272, 340, 362, 364]",0.5923107890499194,0.4444444444444444,pre_expert,BS_108_3_AC
122,BS_108_3_AC.pickle,"[35, 62, 81, 131, 144, 164, 175, 176, 215, 229, 254, 286, 340]",0.7521314102564103,0.46153846153846156,pre_expert,BS_108_3_AC
123,BS_108_3_AC.pickle,"[19, 44, 88, 155, 175, 195, 229, 316, 361, 362]",0.6297342995169082,0.4,pre_expert,BS_108_3_AC
124,BS_108_3_AC.pickle,"[44, 155, 176, 186, 195, 224, 254, 272, 340, 362]",0.5502012882447664,0.4,pre_expert,BS_108_3_AC
125,BS_108_3_AC.pickle,"[81, 155, 164, 186, 194, 215, 256, 286, 316, 361]",0.646298076923077,0.6,pre_expert,BS_108_3_AC
126,BS_108_3_AC.pickle,"[19, 35, 44, 62, 155, 186, 194, 224, 272, 340]",0.6023123243677238,0.5,pre_expert,BS_108_3_AC
127,BS_108_3_AC.pickle,"[19, 62, 81, 107, 131, 176, 194, 215, 242, 364]",0.6046794871794873,0.1,pre_expert,BS_108_3_AC
128,BS_108_3_AC.pickle,"[19, 35, 62, 144, 194, 224, 254, 256, 348, 364]",0.7566786714685875,0.4,pre_expert,BS_108_3_AC
129,BS_108_3_AC.pickle,"[44, 131, 194, 195, 215, 256, 272, 316, 340, 361]",0.6506891025641026,0.4,pre_expert,BS_108_3_AC
130,BS_108_3_AC.pickle,"[19, 194, 195, 286, 316, 340, 348, 361]",0.718499399759904,0.375,pre_expert,BS_108_3_AC
131,BS_108_3_AC.pickle,"[19, 131, 164, 186, 194, 254, 272, 340]",0.604823717948718,0.375,pre_expert,BS_108_3_AC
132,BS_108_3_AC.pickle,"[35, 62, 131, 144, 186, 229, 242, 272, 286, 348]",0.617628205128205,0.5,pre_expert,BS_108_3_AC
133,BS_108_3_AC.pickle,"[35, 107, 164, 195, 224, 229, 254, 348, 364]",0.6686858974358975,0.4444444444444444,pre_expert,BS_108_3_AC
134,BS_108_3_AC.pickle,"[44, 81, 144, 176, 215, 224, 254, 272, 340]",0.6659615384615385,0.4444444444444444,pre_expert,BS_108_3_AC
135,BS_108_3_AC.pickle,"[19, 62, 175, 254, 316, 340, 348, 362, 364]",0.6175040257648953,0.3333333333333333,pre_expert,BS_108_3_AC
136,BS_108_3_AC.pickle,"[46, 62, 88, 144, 175, 224, 256, 272, 316]",0.8975961538461539,0.3333333333333333,pre_expert,BS_108_3_AC
137,BS_108_3_AC.pickle,"[88, 107, 144, 175, 215, 224, 242, 361, 362]",0.7342628205128205,0.1111111111111111,pre_expert,BS_108_3_AC
138,BS_108_3_AC.pickle,"[35, 131, 164, 175, 186, 215, 286, 361, 364]",0.6389583333333334,0.3333333333333333,pre_expert,BS_108_3_AC
139,BS_108_3_AC.pickle,"[44, 62, 155, 195, 224, 286, 340, 348, 364]",0.5631553592934563,0.4444444444444444,pre_expert,BS_108_3_AC
140,BS_108_3_AC.pickle,"[19, 35, 88, 195, 224, 242, 286, 362]",0.63,0.125,pre_expert,BS_108_3_AC
141,BS_108_3_AC.pickle,"[88, 131, 164, 175, 186, 195, 215, 242, 256, 340, 348, 364]",0.6366506410256411,0.4166666666666667,pre_expert,BS_108_3_AC
142,BS_108_3_AC.pickle,"[35, 46, 155, 164, 175, 224, 254, 256, 364]",0.8605128205128205,0.4444444444444444,pre_expert,BS_108_3_AC
143,BS_108_3_AC.pickle,"[46, 88, 107, 186, 194, 254, 272, 316, 348]",0.868573717948718,0.3333333333333333,pre_expert,BS_108_3_AC
144,BS_108_3_AC.pickle,"[46, 62, 131, 194, 195, 242, 348, 361, 364]",0.812900641025641,0.1111111111111111,pre_expert,BS_108_3_AC
145,BS_108_3_AC.pickle,"[19, 81, 131, 176, 186, 195, 215, 254, 272, 361, 362, 364]",0.6117948717948718,0.16666666666666666,pre_expert,BS_108_3_AC
146,BS_108_3_AC.pickle,"[62, 81, 155, 176, 194, 195, 242, 286, 348, 361]",0.5232757928542753,0.3,pre_expert,BS_108_3_AC
147,BS_108_3_AC.pickle,"[35, 81, 155, 164, 194, 215, 272, 340, 364]",0.5517948717948719,0.5555555555555556,pre_expert,BS_108_3_AC
148,BS_108_3_AC.pickle,"[19, 88, 131, 144, 215, 224, 254, 272, 362]",0.6508814102564101,0.1111111111111111,pre_expert,BS_108_3_AC
149,BS_108_3_AC.pickle,"[62, 131, 176, 186, 224, 254, 256, 348]",0.4565224358974359,0.375,pre_expert,BS_108_3_AC
150,BS_108_3_AC.pickle,"[19, 44, 46, 144, 155, 164, 176, 272, 316, 348, 361, 364]",0.7964262820512821,0.5,pre_expert,BS_108_3_AC
151,BS_108_3_AC.pickle,"[19, 44, 107, 131, 155, 164, 176, 186, 195, 229, 272, 316, 340, 348]",0.5496547571256524,0.5714285714285714,pre_expert,BS_108_3_AC
152,BS_108_3_AC.pickle,"[19, 44, 46, 62, 88, 107, 155, 164, 175, 186, 194, 256, 286, 348]",0.8687660256410257,0.42857142857142855,pre_expert,BS_108_3_AC
153,BS_108_3_AC.pickle,"[19, 35, 62, 81, 88, 144, 155, 176, 194, 195, 256, 286, 316, 362]",0.5718679549114332,0.42857142857142855,pre_expert,BS_108_3_AC
154,BS_108_3_AC.pickle,"[19, 62, 88, 131, 155, 194, 224, 229, 242, 254, 256, 272, 362, 364]",0.5809983896940418,0.21428571428571427,pre_expert,BS_108_3_AC
155,BS_108_3_AC.pickle,"[19, 35, 44, 107, 131, 155, 186, 194, 242, 272, 316, 340, 348, 364]",0.5616097952629466,0.5,pre_expert,BS_108_3_AC
156,BS_108_3_AC.pickle,"[35, 81, 88, 107, 164, 176, 195, 215, 229, 242, 256, 272, 340, 362, 364]",0.6017788461538461,0.4,pre_expert,BS_108_3_AC
157,BS_108_3_AC.pickle,"[19, 44, 107, 144, 155, 175, 215, 242, 256, 272, 286, 316, 340, 348]",0.6750320512820512,0.5,pre_expert,BS_108_3_AC
158,BS_108_3_AC.pickle,"[35, 44, 62, 88, 131, 155, 175, 176, 215, 229, 242, 254, 316, 348]",0.7347596153846153,0.42857142857142855,pre_expert,BS_108_3_AC
159,BS_108_3_AC.pickle,"[19, 35, 81, 107, 155, 164, 175, 176, 215, 242, 256, 340, 348, 364]",0.6303205128205129,0.5,pre_expert,BS_108_3_AC
160,BS_108_3_AC.pickle,"[44, 46, 62, 81, 88, 131, 155, 175, 224, 256, 286, 340, 362, 364]",0.8734134615384616,0.35714285714285715,pre_expert,BS_108_3_AC
161,BS_108_3_AC.pickle,"[35, 81, 107, 131, 144, 155, 175, 186, 194, 195, 215, 256, 272, 316]",0.6438301282051282,0.5,pre_expert,BS_108_3_AC
162,BS_108_3_AC.pickle,"[35, 46, 62, 107, 131, 164, 186, 195, 215, 254, 256, 340, 361, 362]",0.7896314102564104,0.35714285714285715,pre_expert,BS_108_3_AC
163,BS_108_3_AC.pickle,"[44, 46, 81, 88, 107, 131, 144, 155, 175, 194, 272, 316, 361, 364]",0.8683173076923079,0.35714285714285715,pre_expert,BS_108_3_AC
164,BS_108_3_AC.pickle,"[19, 62, 88, 131, 155, 175, 176, 215, 224, 229, 254, 256, 340, 348]",0.760801282051282,0.35714285714285715,pre_expert,BS_108_3_AC
