,animal,session,cluster ID,condition,FR modulation
160,AE_389,AE_389_2_opto_control_AC.pickle,189,pre expert control,11.538461538461537
161,AE_389,AE_389_2_opto_control_AC.pickle,194,pre expert control,5.384615384615386
162,AE_389,AE_389_2_opto_control_AC.pickle,201,pre expert control,1.1965811965811968
163,AE_389,AE_389_2_opto_control_AC.pickle,203,pre expert control,2.6068376068376065
164,AE_389,AE_389_2_opto_control_AC.pickle,209,pre expert control,0.7142857142857143
165,AE_389,AE_389_2_opto_control_AC.pickle,214,pre expert control,0.5982905982905983
166,AE_389,AE_389_2_opto_control_AC.pickle,225,pre expert control,1.1358024691358026
167,AE_389,AE_389_2_opto_control_AC.pickle,254,pre expert control,0.7741935483870969
168,AE_389,AE_389_2_opto_control_AC.pickle,257,pre expert control,0.982905982905983
169,AE_389,AE_389_2_opto_control_AC.pickle,263,pre expert control,1.752136752136752
170,AE_389,AE_389_2_opto_control_AC.pickle,264,pre expert control,21.4957264957265
171,AE_389,AE_389_2_opto_control_AC.pickle,282,pre expert control,0.7264957264957266
172,AE_389,AE_389_2_opto_control_AC.pickle,283,pre expert control,0.9401709401709403
173,AE_389,AE_389_2_opto_control_AC.pickle,287,pre expert control,0.5962059620596206
174,AE_389,AE_389_2_opto_control_AC.pickle,298,pre expert control,25.085470085470092
175,AE_389,AE_389_2_opto_control_AC.pickle,302,pre expert control,28.333333333333343
176,AE_389,AE_389_2_opto_control_AC.pickle,304,pre expert control,5.598290598290599
177,AE_389,AE_389_2_opto_control_AC.pickle,306,pre expert control,5.555555555555557
178,AE_389,AE_389_2_opto_control_AC.pickle,312,pre expert control,0.8974358974358978
179,AE_389,AE_389_2_opto_control_AC.pickle,315,pre expert control,0.5128205128205129
180,AE_389,AE_389_2_opto_control_AC.pickle,321,pre expert control,2.478632478632478
181,AE_389,AE_389_2_opto_control_AC.pickle,324,pre expert control,0.9829059829059827
182,AE_389,AE_389_2_opto_control_AC.pickle,327,pre expert control,0.9401709401709403
183,AE_389,AE_389_3_opto_control_AC.pickle,1,pre expert control,11.181434599156116
184,AE_389,AE_389_3_opto_control_AC.pickle,10,pre expert control,3.9057239057239044
185,AE_389,AE_389_3_opto_control_AC.pickle,33,pre expert control,
186,AE_389,AE_389_3_opto_control_AC.pickle,41,pre expert control,37.89029535864979
187,AE_389,AE_389_3_opto_control_AC.pickle,42,pre expert control,18.69198312236287
188,AE_389,AE_389_3_opto_control_AC.pickle,57,pre expert control,8.649789029535862
189,AE_389,AE_389_3_opto_control_AC.pickle,89,pre expert control,6.244725738396624
190,AE_389,AE_389_3_opto_control_AC.pickle,92,pre expert control,0.8562691131498469
191,AE_389,AE_389_3_opto_control_AC.pickle,101,pre expert control,0.6060606060606062
192,AE_389,AE_389_3_opto_control_AC.pickle,104,pre expert control,4.98316498316498
193,AE_389,AE_389_3_opto_control_AC.pickle,128,pre expert control,4.0084388185654
194,AE_389,AE_389_3_opto_control_AC.pickle,132,pre expert control,2.573839662447257
195,AE_389,AE_389_3_opto_control_AC.pickle,139,pre expert control,12.405063291139234
196,AE_389,AE_389_3_opto_control_AC.pickle,147,pre expert control,7.468354430379747
197,AE_389,AE_389_3_opto_control_AC.pickle,148,pre expert control,4.135021097046413
198,AE_389,AE_389_3_opto_control_AC.pickle,149,pre expert control,11.476793248945143
199,AE_389,AE_389_3_opto_control_AC.pickle,166,pre expert control,2.278481012658228
200,AE_389,AE_389_3_opto_control_AC.pickle,200,pre expert control,23.375527426160343
201,AE_389,AE_389_3_opto_control_AC.pickle,203,pre expert control,0.6419753086419754
202,AE_389,AE_389_3_opto_control_AC.pickle,210,pre expert control,1.2121212121212117
203,AE_389,AE_389_3_opto_control_AC.pickle,217,pre expert control,21.729957805907187
204,AE_389,AE_389_3_opto_control_AC.pickle,220,pre expert control,2.8758169934640527
205,AE_389,AE_389_3_opto_control_AC.pickle,223,pre expert control,0.5907172995780592
206,AE_389,AE_389_3_opto_control_AC.pickle,224,pre expert control,3.206751054852321
207,AE_389,AE_389_3_opto_control_AC.pickle,237,pre expert control,0.80168776371308
208,AE_389,AE_389_3_opto_control_AC.pickle,254,pre expert control,3.7130801687763713
209,AE_389,AE_389_3_opto_control_AC.pickle,255,pre expert control,2.278481012658228
210,AE_389,AE_389_3_opto_control_AC.pickle,258,pre expert control,1.2073490813648295
211,AE_389,AE_389_3_opto_control_AC.pickle,280,pre expert control,
212,AE_389,AE_389_3_opto_control_AC.pickle,309,pre expert control,6.708860759493671
213,AE_389,AE_389_3_opto_control_AC.pickle,320,pre expert control,10.126582278481013
214,AE_389,AE_389_3_opto_control_AC.pickle,322,pre expert control,2.742616033755274
215,AE_389,AE_389_3_opto_control_AC.pickle,323,pre expert control,4.725738396624471
216,AE_389,AE_389_3_opto_control_AC.pickle,324,pre expert control,
217,AE_389,AE_389_3_opto_control_AC.pickle,325,pre expert control,0.6329113924050633
218,AE_389,AE_389_3_opto_control_AC.pickle,327,pre expert control,2.362869198312236
219,AE_389,AE_389_3_opto_control_AC.pickle,332,pre expert control,9.282700421940927
220,AE_389,AE_389_3_opto_control_AC.pickle,333,pre expert control,0.5907172995780592
221,AE_389,AE_389_3_opto_control_AC.pickle,334,pre expert control,0.8438818565400844
222,AE_389,AE_389_4_opto_control_AC.pickle,2,pre expert control,1.2121212121212122
223,AE_389,AE_389_4_opto_control_AC.pickle,29,pre expert control,2.5174825174825184
224,AE_389,AE_389_4_opto_control_AC.pickle,51,pre expert control,3.869463869463868
225,AE_389,AE_389_4_opto_control_AC.pickle,60,pre expert control,3.7762237762237754
226,AE_389,AE_389_4_opto_control_AC.pickle,65,pre expert control,2.0512820512820507
227,AE_389,AE_389_4_opto_control_AC.pickle,66,pre expert control,2.75058275058275
228,AE_389,AE_389_4_opto_control_AC.pickle,69,pre expert control,1.2587412587412588
229,AE_389,AE_389_4_opto_control_AC.pickle,74,pre expert control,1.5384615384615377
230,AE_389,AE_389_4_opto_control_AC.pickle,82,pre expert control,3.150183150183151
231,AE_389,AE_389_4_opto_control_AC.pickle,87,pre expert control,0.8391608391608392
232,AE_389,AE_389_4_opto_control_AC.pickle,113,pre expert control,2.7039627039627034
233,AE_389,AE_389_4_opto_control_AC.pickle,130,pre expert control,3.9160839160839163
234,AE_389,AE_389_4_opto_control_AC.pickle,132,pre expert control,33.1934731934732
235,AE_389,AE_389_4_opto_control_AC.pickle,141,pre expert control,39.953379953379944
236,AE_389,AE_389_4_opto_control_AC.pickle,142,pre expert control,19.347319347319353
