,session,clust,accuracy,NCR_ratio,learning_phase,animal
112,BS_119_2_opto_AC.pickle,"[22, 65, 91, 106, 129, 161, 173]",0.5920648259303721,0.1428571428571428,post_early,BS_119_2_opto_AC
113,BS_119_2_opto_AC.pickle,"[65, 91, 106, 131, 161, 173]",0.6581999999999999,0.1666666666666666,post_early,BS_119_2_opto_AC
114,BS_119_2_opto_AC.pickle,"[12, 50, 61, 70, 91, 140, 173]",0.5534,0.1428571428571428,post_early,BS_119_2_opto_AC
115,BS_119_2_opto_AC.pickle,"[50, 67, 79, 131, 161, 189]",0.596,0.3333333333333333,post_early,BS_119_2_opto_AC
116,BS_119_2_opto_AC.pickle,"[12, 22, 106, 173]",0.6242000000000001,0.0,post_early,BS_119_2_opto_AC
117,BS_119_2_opto_AC.pickle,"[53, 61, 91, 140, 161, 163, 173]",0.6566,0.2857142857142857,post_early,BS_119_2_opto_AC
118,BS_119_2_opto_AC.pickle,"[61, 91, 129, 140, 161, 163, 176]",0.6093108974358975,0.2857142857142857,post_early,BS_119_2_opto_AC
119,BS_119_2_opto_AC.pickle,"[50, 65, 91, 106, 140, 163, 176]",0.5587660256410256,0.0,post_early,BS_119_2_opto_AC
120,BS_119_2_opto_AC.pickle,"[61, 70, 91, 106, 131, 173, 189]",0.5865466186474589,0.1428571428571428,post_early,BS_119_2_opto_AC
121,BS_119_2_opto_AC.pickle,"[12, 16, 61, 70, 130, 163, 173]",0.675,0.1428571428571428,post_early,BS_119_2_opto_AC
122,BS_119_2_opto_AC.pickle,"[12, 22, 50, 53, 91, 130, 131]",0.664,0.0,post_early,BS_119_2_opto_AC
123,BS_119_2_opto_AC.pickle,"[16, 22, 61, 65, 70, 91, 130]",0.5585714285714286,0.1428571428571428,post_early,BS_119_2_opto_AC
124,BS_119_2_opto_AC.pickle,"[12, 16, 65, 70, 131, 161, 163]",0.6654,0.1428571428571428,post_early,BS_119_2_opto_AC
125,BS_119_2_opto_AC.pickle,"[16, 67, 70, 79, 130, 140, 161, 163]",0.6865999999999999,0.25,post_early,BS_119_2_opto_AC
