,animal,session,cluster ID,learning phase,target rate,nontarget rate
189,BS_40,BS_40_3_AC.pickle,24,pre late,-1.5873015873015877,5.868544600938967
190,BS_40,BS_40_3_AC.pickle,30,pre late,-1.8214936247723135,-1.191806331471136
191,BS_40,BS_40_3_AC.pickle,33,pre late,2.385321100917431,2.9487179487179485
192,BS_40,BS_40_3_AC.pickle,36,pre late,2.838283828382838,-1.0035842293906811
193,BS_40,BS_40_3_AC.pickle,37,pre late,-1.837037037037037,-0.7198748043818467
194,BS_40,BS_40_3_AC.pickle,53,pre late,4.385185185185184,-1.220657276995305
195,BS_40,BS_40_3_AC.pickle,54,pre late,1.0628019323671498,1.935483870967742
196,BS_40,BS_40_3_AC.pickle,57,pre late,16.859259259259257,10.672926447574335
197,BS_40,BS_40_3_AC.pickle,61,pre late,0.5084745762711864,0.8333333333333333
198,BS_40,BS_40_3_AC.pickle,71,pre late,4.2370370370370365,-0.8137715179968699
199,BS_40,BS_40_3_AC.pickle,76,pre late,-1.862745098039216,2.513661202185792
200,BS_40,BS_40_3_AC.pickle,81,pre late,7.5851851851851855,2.910798122065728
201,BS_40,BS_40_3_AC.pickle,84,pre late,-3.0518518518518523,2.4726134585289516
202,BS_40,BS_40_3_AC.pickle,105,pre late,-1.2314225053078558,-0.8
203,BS_40,BS_40_3_AC.pickle,108,pre late,-1.3925925925925926,-0.9389671361502346
204,BS_40,BS_40_3_AC.pickle,109,pre late,4.041994750656168,-0.4407713498622591
205,BS_40,BS_40_3_AC.pickle,111,pre late,18.114035087719298,7.314814814814815
206,BS_40,BS_40_3_AC.pickle,114,pre late,23.82882882882883,7.9720279720279725
207,BS_40,BS_40_3_AC.pickle,115,pre late,7.142857142857143,4.017094017094017
208,BS_40,BS_40_3_AC.pickle,121,pre late,21.794871794871796,3.5220125786163523
209,BS_40,BS_40_3_AC.pickle,140,pre late,-0.4494382022471911,0.6130268199233717
210,BS_40,BS_40_3_AC.pickle,145,pre late,1.0476190476190477,6.041666666666667
211,BS_40,BS_40_3_AC.pickle,151,pre late,3.1981981981981984,-0.5555555555555556
212,BS_40,BS_40_3_AC.pickle,155,pre late,21.54074074074074,12.018779342723004
213,BS_40,BS_40_4_AC.pickle,0,pre late,-1.359477124183007,-1.387755102040816
214,BS_40,BS_40_4_AC.pickle,1,pre late,1.8039215686274512,0.5714285714285716
215,BS_40,BS_40_4_AC.pickle,7,pre late,-2.405228758169935,-1.659863945578231
216,BS_40,BS_40_4_AC.pickle,9,pre late,-1.1764705882352944,1.1428571428571428
